,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type,matching_explanations
610,610,4485090958.jpg#2r1e,entailment,A woman in a black jacket and a black and white striped skirt is watching a woman talking to a little boy sitting on concrete steps.,A person is talking to a child while another person watches.,A woman is a person talking and a woman is another person watching her talk to a boy who is a child., *A* *woman* in a black jacket and a black and white striped skirt is watching *a* *woman* talking to a *little* *boy* sitting on concrete steps., A person is talking to a child while another person watches.,A woman is a type of person. A boy is a type of child., A *woman* in a black jacket and a black and white striped skirt is watching a *woman* talking to a little *boy* sitting on concrete steps., A *person* is talking to a *child* while another *person* watches.,If a woman is watching another woman talk to a little boy then she is another person watching someone talking to a child., A *woman* in a black jacket and a black and white striped skirt is *watching* a *woman* *talking* to a *little* *boy* sitting on concrete steps., A *person* is *talking* to a *child* while *another* *person* watches.,"['A', 'woman', 'a', 'woman', 'little', 'boy']",[],"['woman', 'woman', 'boy']","['person', 'child', 'person']","['woman', 'watching', 'woman', 'talking', 'little', 'boy']","['person', 'talking', 'child', 'another', 'person']",classification,2
619,619,5221111799.jpg#1r1e,entailment,A carpenter is working on a roof at a house being built.,A workman is helping put a roof on a house.,Working on a roof implies helping put a roof, A carpenter is *working* *on* *a* *roof* at a house being built., A workman is *helping* *put* *a* *roof* on a house.,A carpenter is working on the roof of a house., *A* *carpenter* is *working* on a roof at a house being built., A workman is helping put a *roof* *on* *a* *house.*,"Carpenter is a type of workman, and helping is a paraphrase of working.", A *carpenter* is *working* on a roof at a house being built., A *workman* is *helping* put a roof on a house.,"['working', 'on', 'a', 'roof']","['helping', 'put', 'a', 'roof']","['A', 'carpenter', 'working']","['roof', 'on', 'a', 'house.']","['carpenter', 'working']","['workman', 'helping']",classification,3
637,637,4958466857.jpg#1r1e,entailment,Two street people and a dog sitting on the ground and one is holding an 'out of luck' sign.,people with a dog,Two street people are a form of people., *Two* *street* *people* and a dog sitting on the ground and one is holding an 'out of luck' sign., *people* with a dog,People and a dog implies they are with a dog., Two street *people* *and* *a* *dog* sitting on the ground and one is holding an 'out of luck' sign., people *with* *a* *dog*,Two street people and a dog means there is an existence of people with a dog., *Two* *street* *people* and a *dog* sitting on the ground and one is holding an 'out of luck' sign., *people* with a *dog*,"['Two', 'street', 'people']",['people'],"['people', 'and', 'a', 'dog']","['with', 'a', 'dog']","['Two', 'street', 'people', 'dog']","['people', 'dog']",classification,1
638,638,4958466857.jpg#2r1e,entailment,Two homeless men dressed in gray sit against a wall with a sleeping dog on a purple leash.,Two homeless men lean against a wall with a dog.,"Sleeping dog is a type of dog, and sit against is a paraphrase of lean against.", Two homeless men dressed in gray *sit* *against* a wall with a *sleeping* *dog* on a purple leash., Two homeless men *lean* *against* a wall with a *dog.*,Sitting against a wall is leaning against it., Two homeless men dressed in gray *sit* *against* a wall with a sleeping dog on a purple leash., Two homeless men lean against a wall with a dog.,against a wall with a sleeping dog is inferred as lean against a wall with a dog., Two homeless men dressed in gray sit *against* *a* *wall* *with* *a* *sleeping* *dog* on a purple leash., Two homeless men *lean* *against* *a* *wall* *with* *a* *dog.*,"['sit', 'against', 'sleeping', 'dog']","['lean', 'against', 'dog.']","['sit', 'against']",[],"['against', 'a', 'wall', 'with', 'a', 'sleeping', 'dog']","['lean', 'against', 'a', 'wall', 'with', 'a', 'dog.']",classification,1
652,652,3678098428.jpg#3r1e,entailment,A man in a black tank top wearing a red plaid hat,A man in a hat.,A man in a hat is a man in a hat., A *man* in a black tank top wearing a red plaid *hat*, A *man* in a *hat.*,A red plaid hat is a specific type of hat., A man in a black tank top wearing a *red* *plaid* *hat*, A man in a *hat.*,A man looks very goods on the black tank top and a red plaid hat., A *man* in a *black* *tank* *top* wearing a *red* *plaid* hat, A man in a *hat.*,"['man', 'hat']","['man', 'hat.']","['red', 'plaid', 'hat']",['hat.'],"['man', 'black', 'tank', 'top', 'red', 'plaid']",['hat.'],classification,2
661,661,4815043888.jpg#3r1e,entailment,A man and a child are purchasing ice cream from a man with a hand pushed ice cream cart.,People are buying food from a street vendor.,A MAN AND A CHILD IS BUYING FOOD FOR STREET VENDOR, A *man* and a *child* are purchasing ice cream from a man with a hand pushed ice cream cart., People are *buying* food from a *street* *vendor.*,"Man and a child are people, and purchasing ice cream is buying food.", A *man* *and* *a* *child* are *purchasing* *ice* *cream* from a man with a hand pushed ice cream cart., *People* are *buying* *food* from a street vendor.,"A type of street vendor has an ice cream cart, and buying food is same as purchasing ice cream.", A man and a child are *purchasing* ice cream from a man with a hand pushed *ice* *cream* *cart.*, People are *buying* food from a *street* *vendor.*,"['man', 'child']","['buying', 'street', 'vendor.']","['man', 'and', 'a', 'child', 'purchasing', 'ice', 'cream']","['People', 'buying', 'food']","['purchasing', 'ice', 'cream', 'cart.']","['buying', 'street', 'vendor.']",classification,3
666,666,539493423.jpg#4r1e,entailment,Man holding torch of fire.,There is a man.,Man is mentioned in both sentences, *Man* holding torch of fire., There is a *man.*,Man holding torch of fire is a type of man., *Man* *holding* *torch* *of* *fire.*, There is a *man.*,"If the man is holding something, he must be there.", *Man* holding torch of fire., There is a *man.*,['Man'],['man.'],"['Man', 'holding', 'torch', 'of', 'fire.']",['man.'],['Man'],['man.'],classification,2
694,694,6757018587.jpg#0r1e,entailment,"A female softball player wearing blue and red crouches in the infield, waiting for the next play.",a player is waiting,waiting for the next  play is other form of the phrase player iswaiting," A female softball player wearing blue and red crouches in the infield, *waiting* *for* *the* *next* *play.*", a player is waiting,A player is waiting implies that the player is waiting for the play to happen.," A female softball *player* wearing blue and red crouches in the infield, *waiting* *for* *the* next *play.*", a *player* *is* *waiting*,"""Crouches in the infield"" implies waiting."," A female softball player wearing blue and red *crouches* *in* *the* *infield,* waiting for the next play.", a player is *waiting*,"['waiting', 'for', 'the', 'next', 'play.']",[],"['player', 'waiting', 'for', 'the', 'play.']","['player', 'is', 'waiting']","['crouches', 'in', 'the', 'infield']",['waiting'],classification,1
718,718,3462454965.jpg#4r1e,entailment,Three dogs running through a field.,Three dogs are running,Dogs running through a field are running., Three dogs *running* *through* *a* *field.*, Three dogs are *running*,Running through a field is a type of running., Three dogs *running* *through* *a* *field.*, Three dogs are *running*,"""Three dogs running through a field"" is a rephrasing of ""Three dogs are running""", Three dogs *running* through a field., Three dogs are *running*,"['running', 'through', 'a', 'field.']",['running'],"['running', 'through', 'a', 'field.']",['running'],['running'],['running'],classification,2
764,764,3549277110.jpg#3r1e,entailment,two boys reading superhero books,Two boys reading a piece of literature.,Superhero books are a piece of literature., two boys reading *superhero* *books*, Two boys reading a *piece* *of* *literature.*,Superhero books are loosely considered literature., two boys reading *superhero* *books*, Two boys reading a *piece* of *literature.*,Superhero books are a form of literature., two boys reading *superhero* *books*, Two boys reading a piece of *literature.*,"['superhero', 'books']","['piece', 'of', 'literature.']","['superhero', 'books']","['piece', 'literature.']","['superhero', 'books']",['literature.'],classification,3
766,766,5226870137.jpg#0r1e,entailment,A man in a suit driving a horse-drawn buggy down a stone street.,The man is driving a buggy.,Both man are driving a form of buggy., A man in a suit *driving* *a* horse-drawn *buggy* down a stone street., The man is *driving* *a* *buggy.*,horse-drawn buggy is inferred as buggy., A man in a suit driving a *horse-drawn* *buggy* down a stone street., The man is driving a *buggy.*,A buggy is a type of vehicle driven on a stone street., A man in a suit driving a horse-drawn buggy down a *stone* *street.*, The man is driving a *buggy.*,"['driving', 'a', 'buggy']","['driving', 'a', 'buggy.']","['horse-drawn', 'buggy']",['buggy.'],"['stone', 'street.']",['buggy.'],classification,"1,3"
801,801,6878167613.jpg#2r1e,entailment,"A golfer is getting ready to putt on the green, with a crowd of people watching in the background.","The golfer is getting ready to putt on the green, with a crowd watching in the background.",The word crowd implies a crowd of people.," A golfer is getting ready to putt on the green, with a *crowd* *of* *people* watching in the background."," The golfer is getting ready to putt on the green, with a *crowd* watching in the background.","Crowd of people is a crowd, and a golfer getting ready to putt is a type of golfer."," *A* *golfer* is *getting* *ready* *to* *putt* on the green, with a *crowd* *of* *people* watching in the background."," The *golfer* is getting ready to putt on the green, with a *crowd* watching in the background.",A crowd would constitute a group of people.," A golfer is getting ready to putt on the green, with a crowd *of* *people* *watching* in the background."," The golfer is getting ready to putt on the green, with a *crowd* *watching* in the background.","['crowd', 'of', 'people']",['crowd'],"['A', 'golfer', 'getting', 'ready', 'to', 'putt', 'crowd', 'of', 'people']","['golfer', 'crowd']","['of', 'people', 'watching']","['crowd', 'watching']",classification,2
867,867,2863186021.jpg#0r1e,entailment,The back of a woman wearing a white jacket with blue jeans walking towards a flock of birds.,There were some birds near a woman.,There is a flock of birds., The back of a woman wearing a white jacket with blue jeans walking towards a *flock* of birds., There were some *birds* near a woman.,If a woman is described as 'walking towards a flock of birds' this indicates at there are 'some birds near a woman'., The back of *a* *woman* wearing a white jacket with blue jeans *walking* *towards* *a* *flock* *of* *birds.*, There were *some* *birds* *near* *a* *woman.*,"Woman wearing a white jacket is a type of woman, and flock of birds are some birds.", The back of a *woman* *wearing* *a* *white* *jacket* with blue jeans walking towards a *flock* *of* *birds.*, There were *some* *birds* near a *woman.*,['flock'],['birds'],"['a', 'woman', 'walking', 'towards', 'a', 'flock', 'of', 'birds.']","['some', 'birds', 'near', 'a', 'woman.']","['woman', 'wearing', 'a', 'white', 'jacket', 'flock', 'of', 'birds.']","['some', 'birds', 'woman.']",classification,3
